Title,Est Release Year,Operating System
Disney’s You Can Fly! With Tinker Bell,2001,Windows 95/98/ME/XP
Divine Destiny,1999,Windows 95/98
Divinity II,2009,Windows XP/Vista
Dogs of War,2000,???
Dogz,1997,Windows 3.1/95/Mac
Don Maddox The Franco Benoni Chess Training,2003,Windows
Donkey Kong,1983,Apple II
Doom 2016,2016,Windows
Doom 3,2004,Windows 2000/XP
Doom 3,2004,Windows 2000/XP
Doom 3: BFG Edition,2012,Windows Vista/7
Doom 3: Resurrection of Evil,2005,Windows 2000/XP
Doom II,1994,DOS
Dora the Explorer Backpack Adventure,2002,Windows and Mac
Dracula The Days of Gore,2006,Windows 98/ME/2000/XP
Dracula Unleashed,1993,MS-DOS
Dragon Age 2,2011,Windows XP/VIsta/7
Dragon Age Orgins,2009,Windows XP/Vista/7
Dragon Age: Orgins Awakening,2010,Windows XPSP3/VistaSP1/7
Dragon’s Lair,1993,DOS
Dream Chronicles 2 The Eternal Maze,2008,Windows XP/Mac
Dream Day Wedding: Married in Manhattan,2008,Windows CP/Vista CD
Dream Day Wedding: Viva Las Vegas,2009,Windows XP/Vista
Dream Fall: The Longest Journey,2006,Windows XP SP2
Driver,1999,Windows 95/NT/98
Driver Pack: Bus Driver & Truck Driver Big Rig,2010,Windows XP/7
Driver: San Francisco,2011,Windows XP/Vista/7
Duck Hunter Pro,1998,Windows 95/98
Duke Caribbean,1997,Windows
Duke Mukem Manhattan Project Total Mutant Mayhem,2002,Windows
Duke Nuke’em Forever,2011,Windows XP/7/10
Duke Nukem 3D,1996,MS DOS
Duke Nukem 3D,1996,Windows
Duke Nukem Forever,2011,Windows XP/Vista/7
Duke Nukem Manhattan Project,2002,Windows
Duke!Zone,1996,MS DOS
Dune 2000,2001,Windows 95/98
Dune II,1992,DOS
Dungeon 2 Siege,2005,Windows XP SP1
Dungeon Keeper 2,1999,Windows 95/98
Dungeon Seige II,2005,Windows XP/SP1 or newer
Dungeon Seige III,2011,Windows XP/Vista SP1/ 7
Dungeon Siege,2002,Windows
Dungeon Siege 2: Broken World,2006,Windows XP SP1
Dungeons & Bragons Online Storm Reach,2006,Windows XP
DVD Copy Plus,2002,Windows
DW Bradley’s Cyber Mage,1995,MS DOS 5.0
EA Sports Collection 2003,2002,Windows
Earth 2160,2008,Windows 98/ME/2000/XP/Vista/Direct X
Easy CD Creator Starter Kit Version 5,2002,Windows 98/NT/ME/2000/XP
Easy Photo Suite,No specified year,Windows/Mac
Editors’ Choice Collection,1997,Windows 95/DOS
Educational System Cassettes,1979,Atari 400/800
Egg vs. chicken,2005,Windows
Electronic Arts: 10 for $20,2000,Windows 95/98
Elite Darts,1998,Windows 95/98/Mac
Elite Plus,1991,DOS 2.0
Emergency 2012,2012,Windows XP/Vista/7
Emergency Room,1995,DOS
Emperor: Rise of the Middle Kingdom,2002,Windows
Empire Earth,2002,Windows
Empire Earth,2001,Windows
Empire Earth II,2005,Windows 98/Me/2000/XP
Enemy Territory Quake Wars,2007,Windows XP/Vista
Enter the Matrix,2003,Windows 98/2000/ME/XP
Enter the Matrix,2003,Windows 98/Me/2000/XP
Escape From Monkey Island,2000,Windows 95/98/ME/2000
Escape the Emerald Star,2011,Windows XP/Vista/7
Escape Whisper Valley,2010,Windows XP/Vista/7
Escape Whisper Valley,2010,Windows XP/Vista/7
Eve Online,2003,Windows 98/ME/2000/XP
EVE Online,2009,Windows XP/Vista
Events That Changed the World,1995,DOS 5.0 and Windows 3.1 and System 7.0
Everquest II,2004,Windows 98SE/ME/2000/XP
Everquest II: Desert of Flames,2005,Windows 98SE/ME/2000/XP
EverQuest Shadows of Luclin,2001,Windows
EverQuest the Planes of Power,2002,Windows
Everquest Titanium Edition,2005,Windows
EverQuest Trilogy,2001,Windows
Everyman Chess CD Collection Samples,mid-2000s?,Windows 95/98/ME/2000/XP
Evolve,2015,Windows 7
Exodus Adventures,2007,Windows
Expert: Home Design,1993,MS DOS/DOS
Expert: Landscape,1992,MS DOS/DOS
Explorers of the New World,1995,Windows 95/3.1/Mac
Extreme Boards and Blades 2,2001,Windows 95/98
Extreme Paintbrawl 2,1999,Windows
F-117A NightHawk Stealth Fighter 2.0,1991,DOS
F.E.A.R,2005,Windows 2000/XP
F.E.A.R Extraction Point,2006,Windows 2000/XP/Vista
F.E.A.R Perseus Mandate,2007,Windows 2000/XP/Vista
F/A-18 Hornet 3.0,1997,Mac OS/Windows 95
F1 2000,2000,Windows 95/98
F1 2000,2000,Windows 95/98
F1 2002,2002,Windows
F22 Lightning,1999,Windows 95/98/NT
F22 Lightning II,1997,DOS & Windows 95
F22 Raptor,1997,Windows 95
Fade to Black,1995,MS-DOS
Falcon 3.0,1991,DOS
Fallen Angel Sacred 2,2008,Windows XP
Fallout,1997,Windows 95
Fallout 3,2008,Windows XP/Vista
Fallout 4,2015,Windows 7/8/10
Fallout 4,2015,Windows 7/8/10
Family Fun Pack,2006,Windows
Family Game Pack,1997,Windows 95
Family Memory Maker,1997,Windows 3.1/95
Family Tree Maker Version 3,2000,Windows
Fantastic 4,2005,WIndows 98/ME/2000/XP
Far Cry,2004,Windows 98/2000/ME/XP
Far Cry 2,2008,Windows XP/Vista
Farcry 4: Limited Edition,2014,Windows 7/8/8.1
Farm Frenzy Forever,2011,Windows Vista/7
Farming Simulator: Titanium Edition,2014,Windows XP SP3/Vista SP2/7/8 Mac OS X
Fast Lanes Bowling,2003,Windows 98/Me/2000/XP
Fate,2006,Windows 2000SP4/XP
Fate The Cursed King,2011,Windows
Fate Undiscovered Realms,2008,Windows XP/Vista
Fear 2: Project Origin,2009,Windows Vista/XP
Feeding Frenzy 2 Shipwreck Showdown,2006,Windows 2000/XP/Vista
Fetch,2006,Windows 98/ME/XP
Fetch,2006,Windows98/ME/XP
FIA-18 Operation Iraqu Freedom,2003,Windows 98/Me/2000/XP
Fifa 06 Soccer,2005,Windows
FIFA 2001,2000,Windows
FIFA 98,1997,Windows 95
Fifa Soccer 2002,2001,Windows 95/98/2000/ME/XP
Fighter Duel,1995,DOS
Fighter: Ultimate PC Fighting Game,1995,DOS
"Film Fatale Lights, Camera, Madness!",2012,Windows XP/Vista/7
Final Conguest,1998,Windows 95
Final Fantasy XI Online,2003,Windows 98/98SE/ME/2000/XP
Final Fantasy XI Online the Vana’diel Collection,2005,Windows 2000/XP
Finding Nemo,2003,Windows 98/ME/XP/2000
Finding Nemo Nemo’s Underwater World of Fun,2003,Windows 98/ME/XP/2000/Mac
Finding Nemo: Nemo’s Underwater World of Fun,2003,Windows 98/ME/XP/2000
FinForm,1982,Aquarius Home Computer
Fire Hawk Thexder The Second Contact,1990,DOS
Firestarter,2004,Windows 98/2000/XP
Fishco,2012,Windows XP/Vista/7
Five-A-Side Soccer,1985,Commodore 64
FlatOut 2,2006,Windows 2000/XP
Flying Corps Gold,1997,Windows 95/DOS
Football Manager 2009,2008,Windows Vista/XP and Mac OS X 10.5.5
Football Mogul,1999,Windows 95/98
Football Pro,1998,Windows
Force 21,1999,Windows
Forgotten Realms Archives Silver Edition,1999,Windows
Forms Maker and Filler,2005,Windows 98SE/ME/2000/XP
Forsaken,1998,Windows 95
Fox Kids Presents eGames Pack,2000,Windows 95/98
Freddi Fish 3 The Case of the Stole Conch Shell,1998,Windows 95/3.1/Mac
Freddi Fish and The Case of The Missing Kelp Seeds,1996,Windows 95/3.1/Mac
Freedom Fighters,2003,Windows
Freedom Force,2005,Windows
Freelancer,2002,Windows 98/ME/2000/XP
Freelancer,2002,Windows 98/ME/2000/XP
Freelancer: Universe of Possiblity,2002,Windows 98/2000/ME/XP
Freespace 2,1999,Windows
Fritz Chess Grandmaster Challenge III,2009,Windows 98/ME/2000/XP/Vista
Fritz Chess Grandmaster II,2010,Windows XP/Vista
Frog Master,1983,Commodore 64
Frogger,1997,Windows 95
Frogger 2 Swampy’s Revenge,2000,Windows 95/98
From Dusk Till Dawn,2002,Windows 95/98/ME/XP
Front Mission Evolved,2010,Windows XP/Vista/7
Front Page Sports Golf,1997,Windows
FUEL,2008,Windows XP/Vista
Full Spectrum Warrior,2004,Windows
Full Throttle,2001,Windows 95/98
Fun School in Dream Land,1995,Windows 3.1/95
FunPack,1993,DOS
G-Nome,1996,Windows
G.I. Combat Episode 1: Battle of Normandy,2002,Windows
Gabriel Knight: Sins of the Fathers,1996,Windows
Galactic Assault,2007,Windows
Galaxy of 3D Tetrimania,2000,Windows 95/98
Galaxy of Games 1001,2005,Windows 98/ME/2000/XP
Galaxy of Games 2,1996,Windows 3.1/95
Galaxy of Games Solitaire,1998,Windows 95/98
Game House,2008,Windows
Games 4 Boys,2009,Windows XP/2000
Gangland,2004,Windows 98/98SE/ME/2000/XP
Garfield: A Tail of Two Kitties,2006,Windows
Gates of Graceland and 1963,2012,Windows
Gateway 2000 Version of Mayo Clinic & CashGraf,2000,Windows
Gateway 2000 Version of Mayo Clinic & Cashgraf 2.22,2000,Windows
Gears of War,2007,Windows Vista/XP
Geography: the World and It’s People,????,Windows 3.1 and Power Mac
Geometry Blaster,1996,Windows 3.1/95 & Mac
Ghost Recon Advanced Warfighter 2,2007,Windows XP/Vista
Ghost Recon The Original & Island Thunder,2002,Windows 2000/XP
Glasklar Interactive Technology,2000,Windows 95
Glittermitten Grove,2019,Windows
Global Operations,2002,Windows 98/2000/ME/XP
Global Operations,2002,Windows XP/ME/2000/98
Goosebumps Escape from Horrorland,1996,Windows 95
Grammar Games,1996,Windows 95/3.1/Mac
Grand Prix Legends,1998,Windows
Grand Prix Manager,1995,Windows
Grand Theft Auto III,2002,Windows 98/2000
Grand Theft Auto III,2004,Windows 95/98/ME/2000
Grand Theft Auto San Andreas,2005,Windows 2000/XP
Grand Theft Auto San Andreas Second Edition,2008,"Windows 2000, XP, Vista"
Grand Theft Auto: IV,2008,Windows Vista/XP
Grand Theft Auto: The Trilogy,2009,Windows 2000/XP/Vista
Grandprix 3,2000,Windows 95/98
Grandprix 3,2000,Windows 95/98
Gravitar,2004,Windows 98
Great Adventures Castle,1995,Windows 95/3.1
Great Adventures Pirate Ship,1996,Windows 95/3.1
Great Adventures Wild Western Town,1997,Windows 3.1/95/98 and Mac
Great Big War Game,2012,Windows XP/Vista/7
Great Big War Game,2012,Windows XP/Vista/7
Grossest Book Quebec,1995,Mac
Ground Control,2001,Windows 95/98/2000/ME
Ground Control: Operation Exodus,2014,Windows 98/2000/ME/XP
GTA 2,1999,Windows
GTR 2: FIA GT Racing Game,2006,Windows 2000/XP
GTR 2: Realism Redfined,2006,Windows 2000/XP Home/Pro
Guardians of Infinity: To Save Kennedy,1988,DOS
Guess Who?,1999,Windows 95/98
Guess Who?,1999,Windows 95/98
Guild Wars,2005,Windows
Guild Wars Factions,2007,Windows 98/ME/2000/XP
Guild Wars Factions Pre-Order Edition,2006,Windows 98/ME/2000/XP
Guild Wars: Factions Collector’s Edition,2006,Windows 98/ME/2000/XP
GuildWars: Nightfall,2006,Windows XP/2000/ME/98
GUN,2005,Windows 2000/XP
Gun,2005,Windows 2000/XP
Gunman Chronicles,2000,Windows 95/98/2000/ME/NT 4.0
Gunman Chronicles,2000,Windows 95/98
Gunn Runner,2019,Windows 7 or Later
Gunship!,2000,Windows 95/98
H&R Block Tax Cut,2008,Windows
Half Life,2001,Windows
Half Life 2,2006,Windows 98/2000/ME/XP
Half Life 2,2004,Windows 2000/XP/ME/98
Half-Life,1998,Windows 95/98
Half-Life,1998,Windows 95/98
Half-Life 2 Collector’s Edition,2004,Windows
Half-Life 2: Collectors Edition,2004,Windows XP
Half-Life Blue Shift,2001,WIndows 95/98/ME/2000
Half-Life Blue Shift,2001,Windows 95/98/ME/2000
Half-Life Counter-Strike,2000,Windows
Half-Life Opposing Force,1999,Windows 95/98
Half-Life Opposing Force,1999,Windows 95/98
Half-Life Platinum,2000,Windows 95/98
Halo Combat Evolved,2003,Windows 98SE/ME/2000/XP
Hard Truck II,2000,Windows
Harley-Davidson Race Across America,1999,Windows 95/98
Harpoon,1988,Amiga
Harpoon Classic,1994,Windows DOS 5.0/3.1/Mac 7.0
Harry Potter and the Chamber of Secrets,2002,Windows
Harry Potter and the Goblet of Fire,2005,Windows XP/Vista???
Harry Potter and the Sorcerer’s Stone,2001,Windows
Harry Potter Quidditch World Cup,2003,Windows
Has Been Heroes,2017,Windows 7 or Later
Hawaii High the Mystery of the Tiki,1993,Windows 3.1 and Mac 7.0
Hawaiian Explorer Pearl Harbor & Lost Island,2009,Windows XP/2000/Vista
Heart Mix,90’s?,Windows 95/98/Mac
Hearts of Iron II,2005,Windows
Heaven Quest,1998,Windows 95
Heavy Fire Afghanistan: Reload,2013,Windows VIsta/7
Heavy Gear,1997,Windows 95
Heavy Gear,1997,Windows
Heavy Gear 2,1998,Windows
Hegemonie Legends of Iron,2002,Windows 98/ME/2000/XP
Helldorado,2009,Windows Vista/XP/2000
Hello Kitty Big Fun Deluxe,1994,Windows
Herbal Guide,2001,Windows 3.1
Heretic II,1998,Windows 95/98
Herod’s Lost Tomb,2009,Windows XP/Vista CD
Heroes Chronicles: Conquest of the Underworld,2000,Windows 95/98/NT
Heroes of Might and Magic II,1996,DOS and Windows 95
HGTV Instant Makeover,2010,WindowsXP/Vista/7
Hi-Octane Games,1996,Windows 95
Hidden & Dangerous 2,2003,Windows
Hidden & Dangerous Deluxe,2002,Windows 98/ME/XP
Hidden Mysteries November 1963,2012,Windows 7/Vista/XP SP1 & 2
High Heat Baseball,1999,Windows 95/98
High Heat Major League Baseball 2004,2003,Windows 98/ME/XP
High Heat Major League Baseball 2004,2003,Windows 98/ME/XP
Highlights Puzzlemania,90’s?,Windows 3.1/95/ Macintosh
Hinterland Orc Lords,2009,Windows XP/Vista
History of the World,1995,Windows 3.1
Hitman 2: Silent Assassin,2002,Windows
Hitman Codename 47,2000,Windows
Hitman Codename 47 & Project IGI,2000,Windows 95/98
Hitman Contracts,2004,Windows 98/2000/XP
Home Medical Advisor,1997,Windows 95
Home Medical Advisor Pro Version 4.0,1995,Windows 3.1
HomeFront,2011,Windows CP/Vista/7
Homefront The Revolution,2016,Windows 7/8/10
Homeworld,1999,Windows
Homeworld Cataclysm,2000,Windows
Hooters Road Trip,2002,Windows 95/98/ME/XP
Hot Rod American Street Drag,2003,Windows
Hot Wheels Beat That!,2007,Windows XP/Vista
Hot Wheels Crash!,1999,Windows 95/98
Hot Wheels Micro Racers,2000,Windows 95/98
Hot Wheels Official Collector’s Guide,1998,Windows
Hot Wheels Velocity X,2002,Windows 98/ME/XP
Hotel,2010,WIndows
Hoyle Board Games,1999,Windows
Hoyle Board Games,2005,Windows 98SE/ME/2000/
Hoyle Card Games,2001,Windows
Hoyle Casino,2000,Windows 95/98
Hoyle Mahjong Tiles,2000,Windows 95/98
Hoyle Solitaire,2000,Windows 95/98/Mac
Human Body,2001,Windows 95/98/ME/NT
Hunt,2006,Windows 2000/XP
Hunting Unlimited 2011,2010,Windows XP/Vista/7
Hyper 3-D Pinball,1995,Windows
Hyper Blade,1996,Windows 95
I Am Bread,2015,Windows 7/8
I Spy Fantasy,2003,Windows 95/98/2000/ME/XP & Mac
I Spy Mystery,2006,Windows 98/2000/Me/XP & Mac
I Spy Spooky Mansion,1999,Windows 95/98/Mac
I Spy: Junior,1999,Windows 95/98 & Mac 7.5
I Spy: Parent’s Guide,1997,Windows 3.1/95 & Mac 7.1
I Spy: Treasure Hunt,2001,Windows 95/98/2000/ME/XP & Mac 7.6.1
Ice and Fire,1995,Windows
Icewind Dale,2000,Windows 95/98
Icewind Dale,2000,Windows 95/98
IGT Slots Little Green Men,2011,Windows 7/Vista/XP/Macintos OS X
IGT Slots Wolf Run,2010,Windows 7/Vista/XP
IL-2 Sturmovik 1946,2006,Windows 98/ME/2000/XP
IL-2: Forgotten Battles Ace Expansion Pack,2004,Windows 98/ME/XP/2000
Imagine Fashion Designer,2007,Windows Vista/XP/2000
Imperium Galactica II: Alliances,2000,Windows 9x
In Persuit of Greed,1996,DOS
In Search of the Lost Words,1997,Windows
In-Fisherman,2004,Windows 98/2000/ME/XP
Incredible Toon Machine,1994,DOS/DOS CD-ROM/Mac
Independence Day,2000,Windows 95
Independence War 2: Edge of Chao,2000,Windows
Innerspace,1995,Windows
Insurrection,1998,Windows 95
Intel Teach Program Essentials Course,2011,Windows 2007/2003/XP/Mac
Inter Galleon Battle,1983,Atari 400/800
International Tennis Open,1994,Windows 3.0
Interpol the Trail of Dr. Chaos,2008,Windows 98/ME/2000/XP/Vista
It’s Deductible,2001,Windows 95/98/NT/ME/2000/XP
Jack Nicklaus: The Tour Collection,1994,DOS
Jagged Alliance 2: Unfinished Business,2000,Windows 95/98
Jagged Alliance 2: Wild Fire,2007,Windows XP/2000
Jagged Alliance Crossfire,2012,Windows XP/Vista/7
Jagged Alliance: Back In Action,2012,Windows XP SP2/Vista/7
Jagged Alliance: Back in Action,2012,Windows XP/Vista/7
Jagged Alliance: Unfinished Business,2000,Windows 95/98
James Patterson Women’s Murder Club,2008,Windows/Mac
Jammit,1994,DOS
Jane’s Fighters Anthology,1997,Windows 95
Jane’s Hotel,2008,Windows ME/2000/XP/Vista
Jane’s WWII Fighters,2000,Windows 95/98
Jane’s WWII Fighters,1998???,Windows
Jasc Paint Shop Pro 7,2003,Windows 95/98/NT4/2000
Jeopardy Second edition,2000,Windows 95/98
Jeopardy!,1987,Commodore 64/128
Jeopardy! Second Edition,1988,Commodore 64/128
Jeopardy! Sports Edition,1988,Commodore 64/128
Jetboad Racing 2,2001,Windows 98/ME
Jetfighter 2015,2005,Windows
Jetfighter IV Fortress America,2000,Windows 95/98
Jimmy Houston’s Bass Tournament USA,1996,Windows 95
Joint Operations: Escalation Expansion Pack,2004,Windows
Joint Operations: Typoon Rising,2004,Windows
Joint Strike Fighter,1998,Windows 95
Jonah a VeggieTale’s Game,2002,Windows 98/2000/ME/XP
Journey to Stoehenge,2003,Windows 98
Jubilee’s Journey,1997,Windows/Mac
Judge Dredd: Dredd vs Death,2003,Windows
Jumble,1998,Windows 95/98
Jump Raven,1993,Mac 6.08
Jump Start 2nd Grade Math,1997,Windows/Mac
Jump Start ABC’s,1999,Windows 95/98 and Power Mac
Jump Start Music,1998,Windows 95/98 and Power Mac
Jump Start Pre-K,1996,Windows 98/3.1/3.11 & Mac
Jump Start Spelling,1998,Windows 95/98 & Mac
Jump Start: Advanced Preschool,2006,Windows 98/ME/2000/XP/Vista Mac Workstation
Jumpstart Adventures 5th Grade,1997,Windows and Mac
Jumpstart Artist,2007,Windows 98/ME/2000/XP/ Macintosh
JumpStart Kindergarten,1996,Windows 95 and Mac
Jumpstart Kindergarten,1995,MS-DOS
Jumpstart Kindergarten Deluxe,2000,Windows 98/95/ Power Macintosh
JumpStart Phonics,2003,Windows 98/ME/2000/XP/ Macintosh workstation
Jungle Book,1996,Windows 3.1/95
Kane & Lynch Dead Men,2007,Windows XP/Vista
Kanoron!,90’s?,Windows 95/98
Keep It Simple World Photo,1997,Windows 3.1/95
Keys of the Kingdom,2009,Windows 98/2000/Me/XP/Vista
Kid Pilot,1998,Windows 98/95
Kid Pix Deluxe 3,2000,Windows 95/98/NT and System 8
Kid Pix Deluxe 4 Home Edition,2008,Windows XP and OS X 10.2
Kill Switch,2004,Windows
Killing Time,1996,Windows
Kinderventures Pocket & Tails Go Exploring,1995,Windows 3.1/Mac 7.0
King Solomon’s Trivia Challenge Volume I,2010,Windows XP/Vista/7
King’s Quest IV: Perils of Rosella,1988,DOS
King’s Quest VI,1993,DOS
Kingpin: Life of Crime,1999,Windows 95/98/NT
Kiss Pinball,2000,Windows 95/98
Kitchen Gourmet,1996,DOS 5.0 and Windows 3.1/95
Knight Games,1986,Commodore 64
Kohan Immortal Sovereign,2001,Windows 9x/2000/ME
L-Zone,1994,Mac and Windows 3.1
Lands of Lore Guardians of Destiny,1997,Windows
Lara Croft Tome Raider: Angel of Darkness,2003,Windows 98SE/ME/2000/XP
Learn How to Buy and Sell on eBay,2006,Windows
Left 4 Dead,2008,Windows XP/Vista/Vista64
Left 4 Dead,2008,Windows CP/Vista/Vista64
Left 4 Dead 2,2009,Windows 7/Vista/XP
Left Behind 3: Rise of the Antichrist,2010,Windows XP SP11/Vista 7
Legend the Hand of God,2008,Windows XP/Vista
Lego Chess,1998,Windows
Lego Creator: Harry Potter,2001,Windows
Lego Creator: Harry Potter,2001,Windows
Lego Island,1997,Windows 95
LEGO Rock Raiders,1999,Windows 95/98
LEGO Software,2001,Windows
Lego Star Wars the Video Game,2005,Windows 2000/XP
Lego Star Wars: Video Game,2005,Windows 2000/XP
Lego Stunt Rally,2000,Windows
Legoland,2000,Windows
Lemmings Revolution,2000,Windows
Lemony Snicket’s A Series of Unfortunate Events,2004,Windows 98/ME/2000/XP
Lemony Snicket’s A Series of Unfortunate Events,2004,Windows 98/ME/2000/XP
Let’s Ride Dreamer,2005,Windows XP
Lighthouse The Dark Being,1996,Windows
"Lights, Camera, Curses",2009,Windows XP/Vista
Lilo & Stitch Hawaiian Adventure,2001,Windows 95/98/ME/XP and Mac
Lineage 2,2004,Windows XP/ME/2000/98
Links,1991,MS-DOS 3.1
Links championship Edition,2001,Windows
Linux Mandrake 7.0 Complete,2000,Linux
Liong: The Lost Amulets,2009,Windows XP/Vista/7
Looney Tunes Merrie Masquerades Animated Jigsaws,1998,Windows
Looney Tunes Wuv & Marriage Animated Jigsaws,1998,Windows
Lords of Magic Special Edition,1998,Windows
Lords Royal Collection,1997,MS-DOS 5.0 and Windows 95 and Mac
Lost The Video Game,2008,Windows Vista/XP
M1 Tank Platoon,1998,Windows 95
MacCube: Arcade Games Volume 1,1995,Mac
Madden 08,2007,Windows
Madden 2003,2002,Windows XP/ME/2000/98
Madden 2003,2002,Windows 98/2000/ME/XP
Madden 2004,2003,Windows XP/ME/2000/98
Madden 2004,2003,Windows
Madden 2008,2007,Mac
Madden Football: Limited Edition,1996,Windows
Madden NFL 98,1997,Windows
Madeline European Adventures,1999,Windows 3.1/95/98
Madeline European Adventures: User’s Manual,1996,Windows 3.1/95
Madeline Rainy Day Activities,1998,Windows 98/95/3.1/Mac
Madeline Thinking Games,1998,Windows 95/98/NT & Mac
Mafia 3: Deluxe Edition,2016,Windows 7
Mafia III,2016,Windows 7
Magic Match: Journey tot he Lands of Arcane,2006,Windows 95/98/98SE/ME/2K/XP
Magnetic- The Game of Games,2003,Windows
Mail Works,1994,DOS 6.2
Majesty,2000,Windows 95/98
Mall Tycoon 2,2003,Windows 98/ME/XP
Mall Tycoon 2 Deluxe,2004,Windows
Mankind,2000,Windows 98/95
Marine Sharpshooter,2003,Windows
Marine Sharpshooter Golden Bullet Edition,2006,Windows
Mario Teaches Typing: Enhanced,1994,Mac
Mark Schlichting’s Harry and the Haunted House,1994,Windows 3.1/Mac
Marvel Ultimate Alliance,2006,Windows 2000/XP
Mask of the Betrayer,2007,Windows XP
Masque Video Slots,2003,Windows 95/98/NT/2000/ME/XP & Mac OS X
Mass Effect,2008,Windows XP/Vista
Mass Effect 3,2012,Windows XP/Vista/Win7
Mass Effect Andromeda,2017,Windows 7/8.1/10
"Master Chess 5000, Nalimov, and Ultimate Game Collection 6",2005,Windows
Master Cook Express,1998,Windows 98/98/Mac
Master Levels for Doom II,1995,DOS
Master Levels for Doom II,1995,Windows
Master of Magic,1986,Commodore 64
Math Blaster Mission 3: Space Defenders!,2000,Windows 95/98/ME/2000 and Mac OS 8.1
Math Rabbit,1998,Windows 3.1/95/98 and Mac
Matrix Online,2005,Windows XP
Max and the Haunted Castle,1997,Windows 3.1/95
Max Payne,2001,Windows 95/98/ME/2000
Max Payne,2001,Windows
Max Payne 2 The Fall of Max Payne,2003,Windows
Max Payne 2: The Fall of Max Payne,2003,Windows 98/2000
Maximum Tycoon: Railroad Tycoon Platinum and Airport Tycoon 2,2003,Windows 98/ME/2000/XP
McDonaldland Card Workshop,1997,Windows 95
McDougal Littel Lab Generator,????,Windows 2000/ME/XP/Macintosh
MDK 2,2000,Windows 95/98/ME/2000
Mechwarrior 4 Mercenaries,2002,Windows 98/ME/2000/XP
Mechwarrior 4: Vengeance,2000,Windows
Mechwarriors 3,1999,Windows 95/98
Medal of Honor Allied Assault,2003,Windows
Medal of Honor Allied Assault,2002,Windows
Medal of Honor Allied Assault Breakthrough,2003,Windows 95/98/ME/2000/XP
Medal of Honor Allied Assault Breakthrough,2003,Windows
Medal of Honor Allied Assault Spearhead,2002,Windows
Medal of Honor Allied Assault War Chest,2004,Windows
Medal of Honor Allied Assult Breakthrough,2003,Windows XP/ME/2000/98/95
Medal of Honor Limited Edition,2010,Windows XP/Vista/7
Medal of Honor War Fighter,2012,Windows Vista SP2
Medal of Honor: Airborne,2007,Windows
Medal of Honor: Pacific Assault,2004,Windows
Medieval 2 Total War,2006,Windows 2000/XP
Medieval Total War Gold Edition,2006,Windows 98/2000/ME/XP
Mega Sudoku Plus,2005,Windows 98/ME/2000/XP
Men’s Health,1996,Windows/Mac
Mental Math Games,1995,Windows 3.1
Mercenaries 2: World in Flames,2008,Windows XP/Vista
Merger Mayer’s Just Me and My Dad,1996,Windows and Mac
MetalTech: Earth Siege,1994,DOS 5.0
Mickey and Crew Print Studio: Deluxe Edition,1997,Windows 3.1
Mickey Saves the Day: 3D Adventure,2001,Windows 95/98
Mickey’s Runaway Zoo: Fun with Numbers,1991,DOS
Microsoft Baseball 2000,1999,Windows 98
Microsoft Cinemania 96,1995,Windows 95
Microsoft Dangerous Creatures,1994,Windows 3.1
